district,rainfall
ARIYALUR,376.5
CHENGALPATTU,554.5
CHENNAI,652.2
COIMBATORE,294.1
CUDDALORE,525.1
DHARAMPURI,276.6
DINDIGUL,378.8
ERODE,270.3
KALLAKURICHI,353.3
KANCHIPURAM,9.7
KANYAKUMARI,473.7
KARUR,264.9
KRISHNAGIRI,248.8
MADURAI,318.9
MAYILADUTHURAI,652.8
NAGAPATTINAM,680.1
NAMAKKAL,237.7
NILGIRI,427
PERAMBALUR,350.6
PUDUKKOTTAI,300.1
RAMANATHAPURAM,400.5
RANIPET,322.4
SALEM,287.9
SIVAGANGA,341.6
TENI,313.4
TENKASI,388.8
THANJAVUR,431
THIRUVARUR,528.5
TIRUCHIRAPPALLI,305.9
TIRUNELVELI,396.5
TIRUPATTUR,226.5
TIRUPPUR,265.9
TIRUVALLUR,498.3
TIRUVANNAMALAI,355.8
TUTICORIN,358.3
VELLORE,306.3
VILLUPURAM,407.6
VIRUDHUNAGAR,336
